Plant Spp,Twig Diameter (mm),Height from Ground (ft),Height from Ground (m)
Birch,0.5,6.36,1.938528
Birch,0.6,4.75,1.4478
Birch,1.3,5.5,1.6764
Elm,0.5,4.67,1.423416
Elm,1.3,3.25,0.9906
Elm,1.5,4.25,1.2954
Elm,2,4,1.2192
Elm,1.6,5.25,1.6002
Elm,1.9,3.08,0.938784
Elm,1.5,2.58,0.786384
Elm,1.7,3.25,0.9906
Elm,1.8,4.25,1.2954
Elm,2.3,3.58,1.091184
Elm,1.7,5.67,1.728216
Elm,1.9,4.08,1.243584
Elm,1.2,4,1.2192
Elm,1.1,4.17,1.271016
Elm,1.3,3.25,0.9906
Elm,1.5,3.67,1.118616
Maple,3.1,3.58,1.091184
Maple,1.3,4.08,1.243584
Maple,1.3,3.42,1.042416
Maple,1.3,4.75,1.4478
Maple,4.1,4.25,1.2954
Maple,4,4,1.2192
Maple,2.5,4.25,1.2954
Maple,3.5,4.42,1.347216
Maple,0.6,4.36,1.328928
Maple,0.6,4.75,1.4478
Maple,0.7,5,1.524
Other,8.6,4.42,1.347216
Other,1,6.08,1.853184
Other,1.6,4.6,1.40208
Other,0.7,5,1.524
Other,0.8,4.08,1.243584
Other,1.2,4.25,1.2954
Other,0.8,4.75,1.4478
Other,0.9,3.36,1.024128
Other,0.7,4,1.2192
Other,1.3,3.75,1.143
Other,1.7,3.36,1.024128
Spicebush,1.6,3.08,0.938784
Spicebush,1.3,4.36,1.328928
Spicebush,1.8,4.67,1.423416
Spicebush,1.5,0.42,0.128016
Spicebush,1.9,0.6,0.18288
Spicebush,2.7,2.5,0.762
Spicebush,2.8,3.42,1.042416
Spicebush,2.2,3.5,1.0668
Spicebush,2.3,3.36,1.024128
Spicebush,2.6,6.42,1.956816
Spicebush,2,8.5,2.5908
Spicebush,2.7,6.58,2.005584
Spicebush,2.2,7.08,2.157984
Spicebush,3.4,4.67,1.423416
Spicebush,1.8,3.75,1.143
Spicebush,2.2,3.25,0.9906
Spicebush,2.4,3.58,1.091184
Spicebush,2.2,4,1.2192
Spicebush,2.5,5.25,1.6002
Spicebush,1.9,6,1.8288
Spicebush,2.9,6.17,1.880616
Spicebush,3.1,5,1.524
Spicebush,2.3,4.36,1.328928
Spicebush,2.7,5.75,1.7526
Spicebush,3.3,5.08,1.548384
Spicebush,2.5,4.42,1.347216
Broadleaf Magnolia,16.7,5.75,1.7526
Broadleaf Magnolia,29,6.17,1.880616
Broadleaf Magnolia,17.3,7.36,2.243328
Broadleaf Magnolia,45.4,8.25,2.5146
Broadleaf Magnolia,4.1,3,0.9144
Broadleaf Magnolia,2.2,5.2,1.58496
Holly,0.8,2.9,0.88392
