Plant_spp,Month,Specimen_count,,,,,,,,
Birch,January,0,,,,,,,,
Elm,January,0,,,,,,,,
Maple,January,0,,,,,,,,
Spicebush,January,0,,,,,,,,
Other,January,0,,,,,,,,
Birch,February,0,,,,,,,,
Elm,February,0,,,,,,,,
Maple,February,0,,,,,,,,"bold are carmen's samples in bags in Grant's lab (all from March) 1 holly, 1 birch, 2 magnolia classified here as other"
Spicebush,February,0,,,,,,,,
Other,February,0,,,,,,,,
Birch,March,1,,,,,,,,
Elm,March,0,,,,,,,,
Maple,March,0,,,,,,,,
Spicebush,March,0,,,,,,,,
Holly,March,1,,,,,,,,
Other,March,2,,,,,,,,
Birch,April,0,,,,,,,,
Elm,April,0,,,,,,,,
Maple,April,0,,,,,,,,
Spicebush,April,0,,,,,,,,
Other,April,0,,,,,,,,
Birch,May,0,,,,,,,,
Elm,May,13,,,,,,,,
Maple,May,2,,,,,,,,
Spicebush,May,14,,,,,,,,
Other,May,9,,,,,,,,
Birch,June,0,,,,,,,,
Elm,June,0,,,,,,,,
Maple,June,0,,,,,,,,
Spicebush,June,0,,,,,,,,
Other,June,0,,,,,,,,
Birch,July,0,,,,,,,,
Elm,July,0,,,,,,,,
Maple,July,0,,,,,,,,
Spicebush,July,0,,,,,,,,
Other,July,0,,,,,,,,
Birch,August,0,,,,,,,,
Elm,August,3,,,,,,,,
Maple,August,0,,,,,,,,
Spicebush,August,4,,,,,,,,
Other,August,1,,,,,,,,
Birch,September,0,,,,,,,,
Elm,September,13,,,,,,,,
Maple,September,26,,,,,,,,
Spicebush,September,0,,,,,,,,
Other,September,30,,,,,,,,
Birch,October,0,,,,,,,,
Elm,October,1,,,,,,,,
Maple,October,4,,,,,,,,
Spicebush,October,4,,,,,,,,
Other,October,18,,,,,,,,
Birch,November,8,,,,,,,,
Elm,November,0,,,,,,,,
Maple,November,21,,,,,,,,
Spicebush,November,0,,,,,,,,
Other,November,15,,,,,,,,
Birch,December,1,,,,,,,,
Elm,December,1,,,,,,,,
Maple,December,0,,,,,,,,
Spicebush,December,1,,,,,,,,
Other,December,2,,,,,,,,
